name,id,branch,tank,tank_name,Camera Position,predict
B15896_tank1_0.jpg,520003287281,สาขา หน้าศูนย์ราชการเพชรบูรณ์,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B15896_tank1_1.jpg,520003287281,สาขา หน้าศูนย์ราชการเพชรบูรณ์,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,-,มุมกล้องไม่ถูกต้อง
B15896_tank1_2.jpg,520003287281,สาขา หน้าศูนย์ราชการเพชรบูรณ์,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B15896_tank2_0.jpg,520003287281,สาขา หน้าศูนย์ราชการเพชรบูรณ์,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B15896_tank2_1.jpg,520003287281,สาขา หน้าศูนย์ราชการเพชรบูรณ์,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B15896_tank2_2.jpg,520003287281,สาขา หน้าศูนย์ราชการเพชรบูรณ์,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,-,มุมกล้องไม่ถูกต้อง
B09643_tank1_0.jpg,520003758756,สาขา วังสารภี,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B09643_tank1_1.jpg,520003758756,สาขา วังสารภี,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B09643_tank1_2.jpg,520003758756,สาขา วังสารภี,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B09643_tank1_3.jpg,520003758756,สาขา วังสารภี,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B09643_tank1_4.jpg,520003758756,สาขา วังสารภี,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B09643_tank2_0.jpg,520003758756,สาขา วังสารภี,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B09643_tank2_1.jpg,520003758756,สาขา วังสารภี,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B09643_tank2_2.jpg,520003758756,สาขา วังสารภี,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B09643_tank2_3.jpg,520003758756,สาขา วังสารภี,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B09643_tank2_4.jpg,520003758756,สาขา วังสารภี,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B10076_tank1_0.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10076_tank1_1.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10076_tank1_2.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10076_tank1_3.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10076_tank1_4.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B10076_tank2_0.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B10076_tank2_1.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B10076_tank2_2.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ไม่ถูกต้อง
B10076_tank2_3.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B10076_tank2_4.jpg,520003758784,สาขา ชุมชนเขาตอง,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B03223_tank1_0.jpg,520003758836,สาขา หนองขาว,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,-,มุมกล้องไม่ถูกต้อง
B03223_tank1_1.jpg,520003758836,สาขา หนองขาว,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03223_tank1_2.jpg,520003758836,สาขา หนองขาว,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ไม่ถูกต้อง
B03223_tank1_3.jpg,520003758836,สาขา หนองขาว,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03223_tank1_4.jpg,520003758836,สาขา หนองขาว,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B19499_tank1_0.jpg,520003759113,บ้านท่าอาจ (RN),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B19499_tank1_1.jpg,520003759113,บ้านท่าอาจ (RN),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B19499_tank1_2.jpg,520003759113,บ้านท่าอาจ (RN),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B19499_tank2_0.jpg,520003759113,บ้านท่าอาจ (RN),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B19499_tank2_1.jpg,520003759113,บ้านท่าอาจ (RN),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B19499_tank2_2.jpg,520003759113,บ้านท่าอาจ (RN),ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
